[2020-12-29 13:08:04,326] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@46daef40, name=log4j:logger=kafka.controller (kafka.controller)
[2020-12-29 13:08:25,990] INFO [ControllerEventThread controllerId=0] Starting (kafka.controller.ControllerEventManager$ControllerEventThread)
[2020-12-29 13:08:26,018] INFO [Controller id=0] 0 successfully elected as the controller. Epoch incremented to 3 and epoch zk version is now 3 (kafka.controller.KafkaController)
[2020-12-29 13:08:26,018] INFO [Controller id=0] Registering handlers (kafka.controller.KafkaController)
[2020-12-29 13:08:26,021] INFO [Controller id=0] Deleting log dir event notifications (kafka.controller.KafkaController)
[2020-12-29 13:08:26,023] INFO [Controller id=0] Deleting isr change notifications (kafka.controller.KafkaController)
[2020-12-29 13:08:26,026] INFO [Controller id=0] Initializing controller context (kafka.controller.KafkaController)
[2020-12-29 13:08:26,032] INFO [Controller id=0] Initialized broker epochs cache: HashMap(0 -> 195) (kafka.controller.KafkaController)
[2020-12-29 13:08:26,041] DEBUG [Controller id=0] Register BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2020-12-29 13:08:26,072] DEBUG [Channel manager on controller 0]: Controller 0 trying to connect to broker 0 (kafka.controller.ControllerChannelManager)
[2020-12-29 13:08:26,083] INFO [Controller id=0] Currently active brokers in the cluster: Set(0) (kafka.controller.KafkaController)
[2020-12-29 13:08:26,084] INFO [Controller id=0] Currently shutting brokers in the cluster: HashSet() (kafka.controller.KafkaController)
[2020-12-29 13:08:26,084] INFO [Controller id=0] Current list of topics in the cluster: HashSet(travelportal.readers, __consumer_offsets) (kafka.controller.KafkaController)
[2020-12-29 13:08:26,084] INFO [Controller id=0] Fetching topic deletions in progress (kafka.controller.KafkaController)
[2020-12-29 13:08:26,086] INFO [RequestSendThread controllerId=0] Starting (kafka.controller.RequestSendThread)
[2020-12-29 13:08:26,094] INFO [Controller id=0] List of topics to be deleted:  (kafka.controller.KafkaController)
[2020-12-29 13:08:26,094] INFO [Controller id=0] List of topics ineligible for deletion:  (kafka.controller.KafkaController)
[2020-12-29 13:08:26,095] INFO [Controller id=0] Initializing topic deletion manager (kafka.controller.KafkaController)
[2020-12-29 13:08:26,096] INFO [Topic Deletion Manager 0] Initializing manager with initial deletions: Set(), initial ineligible deletions: HashSet() (kafka.controller.TopicDeletionManager)
[2020-12-29 13:08:26,096] INFO [Controller id=0] Sending update metadata request (kafka.controller.KafkaController)
[2020-12-29 13:08:26,111] INFO [ReplicaStateMachine controllerId=0] Initializing replica state (kafka.controller.ZkReplicaStateMachine)
[2020-12-29 13:08:26,120] INFO [ReplicaStateMachine controllerId=0] Triggering online replica state changes (kafka.controller.ZkReplicaStateMachine)
